"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",positive
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",positive
effective but too-tepid biopic,positive
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",positive
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",positive
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,positive
offers that rare combination of entertainment and education .,positive
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,positive
steers turns in a snappy screenplay that curls at the edges ,positive
take care of my cat offers a refreshingly different slice of asian cinema .,positive
"this is a film well worth seeing , talking and singing heads and all .",positive
what really surprises about wisegirls is its low-key quality and genuine tenderness .,positive
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",positive
"one of the greatest family-oriented , fantasy-adventure movies ever .",positive
"ultimately , it ponders the reasons we need stories so much .",positive
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,positive
illuminating if overly talky documentary .,positive
a masterpiece four years in the making .,positive
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",positive
offers a breath of the fresh air of true sophistication .,positive
"simply put , there should have been a more compelling excuse to pair susan sarandon and goldie hawn .",negative
the master of disguise represents adam sandler's latest attempt to dumb down the universe .,negative
"this is an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be .",negative
too silly to take seriously .,negative
obvious,negative
"the inevitable double- and triple-crosses arise , but the only drama is in waiting to hear how john malkovich's reedy consigliere will pronounce his next line .",negative
"everything's serious , poetic , earnest and -- sadly -- dull .",negative
"i like it . no , i hate it . no , i love it . . . hell , i dunno .",negative
this mess of a movie is nothing short of a travesty of a transvestite comedy .,negative
"it's clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long .",negative
a fifty car pileup of cliches .,negative
"it's a stale , overused cocktail using the same olives since 1962 as garnish . not only is entry number twenty the worst of the brosnan bunch , it's one of the worst of the entire franchise .",negative
what ultimately makes windtalkers a disappointment is the superficial way it deals with its story .,negative
"as an actor's showcase , hart's war has much to recommend it , even if the top-billed willis is not the most impressive player . as a story of dramatic enlightenment , the screenplay by billy ray and terry george leaves something to be desired .",negative
"a non-britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",negative
"it's not hateful . it's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .",negative
possibly not since grumpy old men have i heard a film so solidly connect with one demographic while striking out with another .,negative
"the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention .",negative
a rather tired exercise in nostalgia .,negative
"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .",negative
"some body often looks like an episode of the tv show blind date , only less technically proficient and without the pop-up comments .",negative
Do you Share More #jokes #quotes #music #photos or #news #articles on #Facebook or #Twitter?,neutral
Good night #Twitter and #TheLegionoftheFallen. 5:45am cimes awfully early!,neutral
"I just finished a 2.66 mi run with a pace of 11'14""/mi with Nike+ GPS. #nikeplus #makeitcount",neutral
colts being hush hush on their number 1 pick,neutral
amazon.ca what's the website for that?,neutral
us marshals seize ultrasound gel that allegedly sickened 16 patients,neutral
see highlands ranch googleoffersden: selling fast on 50% off wine tasting,neutral
check us out on google+!,neutral
