rt _kristabanks the galaxy s7 edge commercial w lil wayne just made my day ,negative,2016-03-17 23:57:50,710616164544581632
here's how you can enable the hidden 'condensed' display mode on the samsung galaxy s7 -,neutral,2016-03-17 23:55:02,710615457615581184
so samsung waited until i switched to iphone to make the galaxy s7 water resistant,neutral,2016-03-17 23:56:29,710615822046257157
"rt top20sales 90% sale. galaxy s7 screen protector full coverage,yootech 3-pack anti-bubble hd...",neutral,2016-03-17 23:57:47,710616151299137536
rt alexmaxham phone comparisons samsung galaxy s6 edge plus vs samsung galaxy s7 edge,neutral,2016-03-17 23:54:41,710615371062050817
rt sprint_west the new samsung galaxy s7 and s7 edge are here buy one and get another for 50% off.,positive,2016-03-17 23:56:24,710615800692998144
samsung galaxy s7 edge 32gb t-mobile black onyx - new,positive,2016-03-17 23:57:44,710616137193680896
"galaxy s7 edge case, obliq naked shieldblackmetal kickstand slim fit crystal clear",neutral,2016-03-17 23:54:33,710615338044497920
cellphone mobile deal   for samsung galaxy s7 edge real tempered glass full screen prot,neutral,2016-03-17 23:56:03,710615714676273152
"big fan of the galaxy s7, but the android n dev preview reminds me why i love googlenexus and how i'd go crazy not running the latest os.",neutral,2016-03-17 23:54:33,710615337704808453
rt verge samsungs new galaxy s7 phones are beautiful  by waltmossberg,positive,2016-03-17 23:57:29,710616076531474433
leather wallet cases for samsung galaxy s7,negative,2016-03-17 23:56:01,710615706002460674
galaxy s7 isocell vs sony camera sensor what&amp8217s the difference,neutral,2016-03-17 23:54:31,710615329680982016
rt phonearena here's how you can enable the hidden 'condensed' display mode on the samsung galaxy s7 -,neutral,2016-03-17 23:57:13,710616009263226880
waterproof case for samsung galaxy s7,negative,2016-03-17 23:56:01,710615703880130564
technology update samsung's galaxy s7 phone may be water resistant - cnet,neutral,2016-03-15 23:59:20,709891765269045248
new samsung galaxy s7 edge silver sm-g935t t-mobile - bid now only $636.0,neutral,2016-03-17 23:59:58,710616700924907524
"coupon deal galaxy s7 costco at&ampt ""value"" deal $118",neutral,2016-03-17 23:59:05,710616477972312064
rt taron my 12 year old brother has a galaxy s7 i didn't even have a phone when i was 12 man what,negative,2016-03-15 23:59:06,709891704820617218
i liked a youtube video from mkbhd  samsung galaxy s7 review,neutral,2016-03-17 23:58:56,710616441725263873
samsung galaxy s7 black onyx verizon - bid now only $580.0,neutral,2016-03-15 23:59:05,709891700647452674
rt mikedopee that samsung galaxy s7 is sexy ,neutral,2016-03-17 23:58:47,710616403951357952
the galaxy s7 is actually amazing if the iphone 7 doesn't match up i'm swapping to android even tho there emojis are dutty &ampiphones are peng,negative,2016-03-15 23:58:58,709891670918172673
